Nom;Catégorie parente;Description
Valves de cde de Remorque;Systèmes Air Comprimé (V.MOTEUR);VCR
Valves de cde de Remorque hydraulique/pn;Systèmes Air Comprimé (V.MOTEUR);VCRHYDR
Valves de Protection;Systèmes Air Comprimé (V.MOTEUR);VDP
Valves Proportionnelles ASR;Systèmes Air Comprimé (V.MOTEUR);VPROPASR
Correcteurs à cde mécanique;Systèmes Air Comprimé (REMORQUE);CORRMECA
Correcteurs à cde pneumatique;Systèmes Air Comprimé (REMORQUE);CORRPNEU
Dessiccateurs Monopot;Systèmes Air Comprimé (REMORQUE);DESSMONO
Divers;Systèmes Air Comprimé (REMORQUE);DIVERS
Filtres sur conduite;Systèmes Air Comprimé (REMORQUE);FILTCOND
Flexibles pneumatiques;Systèmes Air Comprimé (REMORQUE);FLEXIBLE
Robinets d'arrêt;Systèmes Air Comprimé (REMORQUE);ROBARRET
Robinets de desserrage doubles;Systèmes Air Comprimé (REMORQUE);ROBDSSDO
Robinets de desserrage doubles avec fonc;Systèmes Air Comprimé (REMORQUE);ROBDSSDU
Robinets de desserrage simples;Systèmes Air Comprimé (REMORQUE);ROBDSSSI
Robinets monte et baisse;Systèmes Air Comprimé (REMORQUE);ROBMBSTD
Robinets monte et baisse TASC (avec RTR;Systèmes Air Comprimé (REMORQUE);ROBMBTAS
Têtes d'accouplement (avec filtre intégr;Systèmes Air Comprimé (REMORQUE);TETACCAF
Têtes d'accouplement (duomatic);Systèmes Air Comprimé (REMORQUE);TETACCDU
Têtes d'accouplement (standard);Systèmes Air Comprimé (REMORQUE);TETACCSF
Valves de Desserrage rapide;Systèmes Air Comprimé (REMORQUE);VALVDESS
Valves de relevage d'essieu(x);Systèmes Air Comprimé (REMORQUE);VRELEVAG
Valves Relais d'Urgence;Systèmes Air Comprimé (REMORQUE);VRU
Valves Relais d'Urgence (avec robinet de;Systèmes Air Comprimé (REMORQUE);VRUARDES
Equipement de diagnostic communs à tous;Diagnostic;COMMUN
Equipement pour l'outil Expert Diagnosti;Diagnostic;OUTEXPDI
Equipement de diagnostic REMORQUE;Diagnostic;REMORQUE
Equipement de diagnostic V.MOTEUR;Diagnostic;VMOTEUR
Pièces diverses semi-standard;Divers;PSEMISTD
Pièces diverses standard;Divers;PSTANDAR
Câbles & Connecteurs;SYSTEMES ELECTRONIQUES;CABLCONN
GROUPE 1;SYSTEMES ELECTRONIQUES;G1
GROUPE 2;SYSTEMES ELECTRONIQUES;G2
GROUPE 3;SYSTEMES ELECTRONIQUES;G3
Couronnes dentées ABS/EBS;SYSTEMES ELECTRONIQUES;ROUEABS
Accessoires;Systèmes ABS (V.MOTEUR);ACCESSOI
Câbles & Connecteurs;Systèmes ABS (V.MOTEUR);CABLCONN
Capteurs de vitesse ABS/EBS;Systèmes ABS (V.MOTEUR);CAPVITES
Couronnes dentées ABS/EBS;Systèmes ABS (V.MOTEUR);ROUEABS
Unités de Contrôle Electroniques;Systèmes ABS (V.MOTEUR);UCE
Valves Modulatrices;Systèmes ABS (V.MOTEUR);VALVEMOD
Accessoires;Systèmes ABS (REMORQUE);ACCESSOI
Câbles & Connecteurs;Systèmes ABS (REMORQUE);CABLCONN
Capteurs de vitesse ABS/EBS;Systèmes ABS (REMORQUE);CAPVITES
Couronnes dentées ABS/EBS;Systèmes ABS (REMORQUE);ROUEABS
Equipement complet;Systèmes ABS (REMORQUE);SYSCOMPL
Unités de Contrôle Electroniques;Systèmes ABS (REMORQUE);UCE
Valves Relais Modulatrices;Systèmes ABS (REMORQUE);VALREMOD
Accumulateurs hydrauliques;Systèmes ABS (VOITURE);ACCUMHYD
Capteurs de vitesse ABS/EBS;Systèmes ABS (VOITURE);CAPVITES
Modulateurs hydrauliques;Systèmes ABS (VOITURE);MODULHYD
Unités de Contrôle Electroniques;Systèmes ABS (VOITURE);UCE
Capteur de Température;Systèmes ATC Climatisation (BUS);CAPTEMPE
Electrovalves;Systèmes ATC Climatisation (BUS);ELECTROV
Unités de Contrôle Electroniques;Systèmes ATC Climatisation (BUS);UCE
Modulateurs;Systèmes EBS (V.MOTEUR);MODULATE
Modulateurs (intégrés dans robinet de fr;Systèmes EBS (V.MOTEUR);MODULRAP
Robinets de Frein à pied;Systèmes EBS (V.MOTEUR);ROBFPIED
Unités de Contrôle Electroniques;Systèmes EBS (V.MOTEUR);UCE
Valves Relais Modulatrices;Systèmes EBS (V.MOTEUR);VALREMOD
Valves Relais Proportionnelles;Systèmes EBS (V.MOTEUR);VALREPRO
Valves de cde de Remorque;Systèmes EBS (V.MOTEUR);VCR
Accessoires;Systèmes EBS (REMORQUE);ACCESSOI
Câbles & Connecteurs;Systèmes EBS (REMORQUE);CABLCONN
Capteurs de distance (à ultrasons);Systèmes EBS (REMORQUE);CAPULTRA
Modules Afficheurs;Systèmes EBS (REMORQUE);INFOAFFI
Modulateurs;Systèmes EBS (REMORQUE);MODULATE
Modules d'extension pneumatiques TEBS E;Systèmes EBS (REMORQUE);MODULPEM
Valves Relais Modulatrices;Systèmes EBS (REMORQUE);VALREMOD
Valves Relais d'Urgence;Systèmes EBS (REMORQUE);VRU
Capteurs de niveau;Systèmes ECAS/ELM/ESAC (V.MOTEUR+REMORQU;CAPNIVEA
Capteurs de pression (pour valve de prot;Systèmes ECAS/ELM/ESAC (V.MOTEUR+REMORQU;CAPPRESS
Electrovalves;Systèmes ECAS/ELM/ESAC (V.MOTEUR+REMORQU;ELECTROV
Télécommandes;Systèmes ECAS/ELM/ESAC (V.MOTEUR+REMORQU;TELECOMM
Câbles & Connecteurs;Systèmes ECAS/ESAC (V.MOTEUR);CABLCONN
Unités de Contrôle Electroniques;Systèmes ECAS/ESAC (V.MOTEUR);UCE
Câbles & Connecteurs;Systèmes ECAS/ELM (REMORQUE);CABLCONN
Unités de Contrôle Electroniques;Systèmes ECAS/ELM (REMORQUE);UCE
Capteurs de niveau;Systèmes ECAS (VOITURE);CAPNIVEA
Compresseurs Electriques;Systèmes ECAS (VOITURE);COMPRESS
Electrovalves;Systèmes ECAS (VOITURE);ELECTROV
Unités de Contrôle Electroniques;Systèmes ECAS (VOITURE);UCE
Capteurs de distance (boîte de vitesses;Systèmes EDS Boîtes de vitesses;CAPDISTA
Levier de boîte de vitesses;Systèmes EDS Boîtes de vitesses;EDS
Electrovalves;Systèmes EDS Boîtes de vitesses;ELECTROV
Unités de Contrôle Electroniques;Systèmes EDS Boîtes de vitesses;UCE
Modules;Systèmes ELM (REMORQUE);MODULE
Capteurs de stabilité;Systèmes ESC Contrôle de la trajectoire;CAPSTABI
Unités de Contrôle Electroniques;Systèmes ESC Contrôle de la trajectoire;UCE
Modules de roue;Systèmes IVTM Contrôle pneus (V.MOTEUR+R;MODULROU
Modules Afficheurs;Systèmes IVTM Contrôle pneus (V.MOTEUR);INFOAFFI
Unités de Contrôle Electroniques;Systèmes IVTM Contrôle pneus (V.MOTEUR);UCE
Câbles & Connecteurs;Systèmes IVTM Contrôle pneus (REMORQUE);CABLCONN
Unités de Contrôle Electroniques;Systèmes IVTM Contrôle pneus (REMORQUE);UCE
Unités de Contrôle Electroniques;Systèmes Limiteur de vitesse;UCE
Contacteurs d'inversion;Systèmes MTS Contrôle Porte (BUS);CAPINVER
Capteurs de porte;Systèmes MTS Contrôle Porte (BUS);CAPPORTE
Electrovalves;Systèmes MTS Contrôle Porte (BUS);ELECTROV
Robinet d'ouverture d'urgence;Systèmes MTS Contrôle Porte (BUS);ROBOUVER
Unités de Contrôle Electroniques;Systèmes MTS Contrôle Porte (BUS);UCE
Câbles & Connecteurs;Systèmes TCE (REMORQUE);CABLCONN
Unités de Contrôle Electroniques;Systèmes TCE (REMORQUE);UCE
Câbles & Connecteurs;Systèmes Telematique (REMORQUE);CABLCONN
Unités de Contrôle Electroniques;Systèmes Telematique (REMORQUE);UCE
Unités de Contrôle Electroniques;Systèmes ZBR Electronique Centrale (V.MO;UCE
Disques de frein;Friction;DISQUE
Freins à disque hydrauliques;Friction;FADHYDRA
Freins à disque pneumatiques;Friction;FADPNEUM
Freins à tambour;Friction;FAT
Tambours de frein;Friction;TAMBOUR
Témoins d'usure de frein;Friction;TEMUSURE
Automatiques;Leviers Régleurs;REGAUTO
Manuels;Leviers Régleurs;REGMANU
Manomètres;Equipement de mesure;MANOMETR
Accélérateurs;Systèmes de pédaliers;ACCELERA
Pédaliers (frein et embrayage);Systèmes de pédaliers;FREINEMB
Pédaliers (frein, embrayage et accélérat;Systèmes de pédaliers;FREMBACC
Amortisseurs;Suspension (BUS);AMORTISS
Coussins;Suspension (BUS);COUSSIN
Amortisseurs de cabine;Suspension (V.MOTEUR+REMORQUE);AMORTCAB
Amortisseurs;Suspension (V.MOTEUR+REMORQUE);AMORTISS
Coussins;Suspension (V.MOTEUR+REMORQUE);COUSSIN
Amortisseurs de cabine;Suspension (V.MOTEUR);AMORTCAB
Amortisseurs;Suspension (V.MOTEUR);AMORTISS
Coussins;Suspension (V.MOTEUR);COUSSIN
Modules intégrés de suspension de cabine;Suspension (V.MOTEUR);MODUCALM
Amortisseurs;Suspension (REMORQUE);AMORTISS
Coussins;Suspension (REMORQUE);COUSSIN
